"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","stdorToU","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2012-01-18,11.92,"16","3","winter","Std","ACORN-N",0.76,0.93,6.28,"1",9.79150005
2012-01-18,11.92,"16","3","winter","ToU","ACORN-N",0.76,0.93,6.28,"1",24.6580000666667
2012-01-18,11.92,"16","3","winter","Std","ACORN-O",0.76,0.93,6.28,"1",13.35275
2012-01-18,11.92,"16","3","winter","ToU","ACORN-O",0.76,0.93,6.28,"1",6.677
2012-01-18,11.92,"16","3","winter","Std","ACORN-P",0.76,0.93,6.28,"1",5.89679998
2012-01-18,11.92,"16","3","winter","ToU","ACORN-P",0.76,0.93,6.28,"1",2.214
2012-01-18,11.92,"16","3","winter","Std","ACORN-Q",0.76,0.93,6.28,"1",10.8072647147059
2012-01-18,11.92,"16","3","winter","ToU","ACORN-Q",0.76,0.93,6.28,"1",13.98380004
2012-01-18,11.92,"16","3","winter","Std","ACORN-U",0.76,0.93,6.28,"1",13.08325
2012-01-18,11.92,"16","3","winter","ToU","ACORN-U",0.76,0.93,6.28,"1",6.466
2013-01-22,-1.43,"16","2","winter","Std","ACORN-A",0.53,0.88,6.31,"1",26.5715299059829
2013-01-22,-1.43,"16","2","winter","ToU","ACORN-A",0.53,0.88,6.31,"1",20.2595789631579
2013-01-22,-1.43,"16","2","winter","Std","ACORN-B",0.53,0.88,6.31,"1",14.2780000047619
2013-01-22,-1.43,"16","2","winter","ToU","ACORN-B",0.53,0.88,6.31,"1",20.933249975
2013-01-22,-1.43,"16","2","winter","Std","ACORN-C",0.53,0.88,6.31,"1",15.5775344818966
2013-01-22,-1.43,"16","2","winter","ToU","ACORN-C",0.53,0.88,6.31,"1",12.3702424060606
2013-01-22,-1.43,"16","2","winter","Std","ACORN-D",0.53,0.88,6.31,"1",18.9489289236967
2013-01-22,-1.43,"16","2","winter","ToU","ACORN-D",0.53,0.88,6.31,"1",18.0080410986301
2013-01-22,-1.43,"16","2","winter","Std","ACORN-E",0.53,0.88,6.31,"1",15.1473407204433
2013-01-22,-1.43,"16","2","winter","ToU","ACORN-E",0.53,0.88,6.31,"1",13.3392729919881
2013-01-22,-1.43,"16","2","winter","Std","ACORN-F",0.53,0.88,6.31,"1",11.9723593140684
2013-01-22,-1.43,"16","2","winter","ToU","ACORN-F",0.53,0.88,6.31,"1",12.5031133346667
2013-01-22,-1.43,"16","2","winter","Std","ACORN-G",0.53,0.88,6.31,"1",14.6656751681529
2013-01-22,-1.43,"16","2","winter","ToU","ACORN-G",0.53,0.88,6.31,"1",11.4910425638298
2013-01-22,-1.43,"16","2","winter","Std","ACORN-H",0.53,0.88,6.31,"1",14.1374021701087
